Date,Actual,Forecasted
2023-01-02,392.0,271.7263165290545
2023-01-09,536.0,279.45566939905547
2023-01-16,713.0,278.9235509725281
2023-01-23,670.0,278.96018405483295
2023-01-30,753.0,278.9576620923294
2023-02-06,797.0,278.9578357139432
2023-02-13,853.0,278.9578237611625
2023-02-20,821.0,278.95782458403795
2023-02-27,972.0,278.957824527388
2023-03-06,1211.0,278.957824531288
2023-03-13,2651.0,278.9578245310195
2023-03-20,6288.0,278.957824531038
2023-03-27,5021.0,278.95782453103675
2023-04-03,2931.0,278.95782453103686
2023-04-10,1519.0,278.95782453103686
2023-04-17,1229.0,278.95782453103686
2023-04-24,984.0,278.95782453103686
2023-05-01,594.0,278.95782453103686
2023-05-08,478.0,278.95782453103686
2023-05-15,458.0,278.95782453103686
2023-05-22,484.0,278.95782453103686
2023-05-29,486.0,278.95782453103686
2023-06-05,451.0,278.95782453103686
2023-06-12,484.0,278.95782453103686
2023-06-19,223.0,278.95782453103686
2023-06-26,160.0,278.95782453103686
2023-07-03,109.0,278.95782453103686
2023-07-10,103.0,278.95782453103686
2023-07-17,99.0,278.95782453103686
2023-07-24,91.0,278.95782453103686
2023-07-31,126.0,278.95782453103686
2023-08-07,160.0,278.95782453103686
2023-08-14,126.0,278.95782453103686
2023-08-21,152.0,278.95782453103686
2023-08-28,175.0,278.95782453103686
2023-09-04,111.0,278.95782453103686
2023-09-11,101.0,278.95782453103686
2023-09-18,127.0,278.95782453103686
2023-09-25,81.0,278.95782453103686
2023-10-02,140.0,278.95782453103686
2023-10-09,152.0,278.95782453103686
2023-10-16,147.0,278.95782453103686
2023-10-23,396.0,278.95782453103686
2023-10-30,338.0,278.95782453103686
2023-11-06,505.0,278.95782453103686
2023-11-13,384.0,278.95782453103686
